id,raw_text,canonical_transliterated,canonical_italic,canonical_words_only,translation,year_from,year_to,intact_token_ratio,data_quality,dup_group_id,dup_group_size
3958,ceisial,ceisial,𐌂𐌄𐌉𐌔𐌉𐌀𐌋,ceisial,,,,1.000,clean,32e7ca930a14,2
3965,felvereal,felvereal,𐌚𐌄𐌋𐌅𐌄𐌓𐌄𐌀𐌋,felvereal,mr-aulemrs-semthnisfreedman,,,1.000,clean,596318e6003f,1
3999,ripial,ripial,𐌓𐌉𐌐𐌉𐌀𐌋,ripial,mrs-ripis,,,1.000,clean,4bc89ecae402,1
CIE 286,HIAI.OIAI IADIDVO,HIAI.OIAI IADIDVO,,HIAI.OIAI IADIDVO,,,,1.000,clean,c68fd5651759,1
CIE 287,MEHA.IH1H9A.IHIAI.I.9AV,MEHA.IH1H9A.IHIAI.I.9AV,,,,,,0.000,ocr_failed,87dde1026397,1
CIE 298,Θ.URINAT.VELIAS.,Θ.URINAT.VELIAS.,,Θ.URINAT.VELIAS.,,,,1.000,clean,d4a89f938e70,1
CIE 289,VANIAS.HETI.L.,VANIAS.HETI.L.,,VANIAS.HETI.L.,,,,1.000,clean,10631dbb7044,1
CIE 290,LARΘI.LARNEI.VIPINAL,LARΘI.LARNEI.VIPINAL,,LARΘI.LARNEI.VIPINAL,,,,1.000,clean,6f164ee994d3,1
CIE 292,VA.VΘAN.A,VA.VΘAN.A,,VA.VΘAN.A,,,,1.000,clean,32d337e378a2,1
CIE 293,I.PETRNI.L.,I.PETRNI.L.,,I.PETRNI.L.,,,,1.000,clean,6644950a05dd,1
CIE 294,AULE.PUMPU.ALSINAL,AULE.PUMPU.ALSINAL,,AULE.PUMPU.ALSINAL,,,,1.000,clean,6cb277c5f06d,1
CIE 295,AULZA.PUMPU.VETUAL,AULZA.PUMPU.VETUAL,,AULZA.PUMPU.VETUAL,,,,1.000,clean,8e3f039cfb18,1
CIE 296,LARΘI.PUMPU.XERITNAL,LARΘI.PUMPU.XERITNAL,,LARΘI.PUMPU.XERITNAL,,,,1.000,clean,364f40cee69b,1
4065,----------m--us,----------m--us,----------𐌌--𐌖𐌔,,mrs-larthimrs-tavulineissons-wife,,,0.000,clean,b49b6976120c,1
4070,a nicios,a nicios,𐌀 𐌍𐌉𐌂𐌉𐌏𐌔,a nicios,bmr-haustos,,,1.000,clean,cdb0a43e1876,1
4315,apenial,apenial,𐌀𐌐𐌄𐌍𐌉𐌀𐌋,apenial,,,,1.000,clean,40b20706fef9,1
4554,aitnepethi,aitnepeθi,𐌀𐌉𐌕𐌍𐌄𐌐𐌄𐌈𐌉,aitnepeθi,,,,1.000,clean,f8eb8d885655,1
4563,lvrmit,lvrmit,𐌋𐌅𐌓𐌌𐌉𐌕,lvrmit,,,,1.000,clean,e06eeadf06ed,1
4570,an,an,𐌀𐌍,an,for-throat-angina,,,1.000,clean,ea325d761f98,3
4572,rinvs,rinvs,𐌓𐌉𐌍𐌅𐌔,rinvs,,,,1.000,clean,81b527cc6ff6,1
4592,lafsathuileutlfethisisc,lafsaθuileutlfeθisisc,𐌋𐌀𐌚𐌔𐌀𐌈𐌖𐌉𐌋𐌄𐌖𐌕𐌋𐌚𐌄𐌈𐌉𐌔𐌉𐌔𐌂,lafsaθuileutlfeθisisc,,,,1.000,clean,aebb1ffedafb,1
4595,liepiastha,liepiasθa,𐌋𐌉𐌄𐌐𐌉𐌀𐌔𐌈𐌀,liepiasθa,,,,1.000,clean,e0870006115a,1
4598,savniaave--------v----pepivi,savniaave--------v----pepivi,𐌔𐌀𐌅𐌍𐌉𐌀𐌀𐌅𐌄--------𐌅----𐌐𐌄𐌐𐌉𐌅𐌉,,,,,0.000,clean,3b1852ea7f07,1
4619,sepusla---------------------l,sepusla---------------------l,𐌔𐌄𐌐𐌖𐌔𐌋𐌀---------------------𐌋,,mrs-muthurinis,,,0.000,clean,398e09c6b3e3,1
4627,larntisecu,larntisecu,𐌋𐌀𐌓𐌍𐌕𐌉𐌔𐌄𐌂𐌖,larntisecu,,,,1.000,clean,7f92ede3ee87,1
CIE 297,L.UTAUNI.CAINAL,L.UTAUNI.CAINAL,,L.UTAUNI.CAINAL,,,,1.000,clean,1fc4c45b6d09,1
CIE 1882,larθi : cainei : ve[lus],larθi : cainei : ve[lus],𐌋𐌀𐌓𐌈𐌉 : 𐌂𐌀𐌉𐌍𐌄𐌉 : 𐌅𐌄[𐌋𐌖𐌔],larθi cainei,,,,0.667,clean,d51df43f7232,1
CIE 313,arnθ:titlni:|arnθal,arnθ:titlni:|arnθal,𐌀𐌓𐌍𐌈:𐌕𐌉𐌕𐌋𐌍𐌉:|𐌀𐌓𐌍𐌈𐌀𐌋,arnθ titlni arnθal,,,,1.000,clean,58ada9a78775,1
CIE 315,a:titulni:|afur,a:titulni:|afur,𐌀:𐌕𐌉𐌕𐌖𐌋𐌍𐌉:|𐌀𐌚𐌖𐌓,a titulni afur,,,,1.000,clean,3a6749369e6e,1
CIE 316,....i:leθi:venzleś:θ:velmθreś:latini,....i:leθi:venzleś:θ:velmθreś:latini,....𐌉:𐌋𐌄𐌈𐌉:𐌅𐌄𐌍𐌆𐌋𐌄𐌑:𐌈:𐌅𐌄𐌋𐌌𐌈𐌓𐌄𐌑:𐌋𐌀𐌕𐌉𐌍𐌉,....i leθi venzleś θ velmθreś latini,,,,1.000,clean,421367edc8be,1
CIE 317,ls:secu:l:alfnal,ls:secu:l:alfnal,𐌋𐌔:𐌔𐌄𐌂𐌖:𐌋:𐌀𐌋𐌚𐌍𐌀𐌋,ls secu l alfnal,,,,1.000,clean,d0021c544341,1
CIE 318,θana:lecnei:alfnal:v:secu:ls,θana:lecnei:alfnal:v:secu:ls,𐌈𐌀𐌍𐌀:𐌋𐌄𐌂𐌍𐌄𐌉:𐌀𐌋𐌚𐌍𐌀𐌋:𐌅:𐌔𐌄𐌂𐌖:𐌋𐌔,θana lecnei alfnal v secu ls,,,,1.000,clean,79dc57dd7437,1
CIE 333,VAHIS.VSEL.A,VAHIS.VSEL.A,,VAHIS.VSEL.A,,,,1.000,clean,62830feacdcf,1
CIE 334,VDER.A,VDER.A,,VDER.A,,,,1.000,clean,f593f159b4df,2
CIE 335,VDER.A,VDER.A,,VDER.A,,,,1.000,clean,f593f159b4df,2
CIE 336,ES.ATINA,ES.ATINA,,ES.ATINA,,,,1.000,clean,bed784ed726b,1
CIE 341,(MVAM.VIVNA),(MVAM.VIVNA),,,,,,0.000,clean,d33ba670e42b,1
CIE 342,EHRI.A.HNAO,EHRI.A.HNAO,,EHRI.A.HNAO,,,,1.000,clean,52bd7124b8ab,1
CIE 343,ITVT.AI.A,ITVT.AI.A,,ITVT.AI.A,,,,1.000,clean,378c1ea2971a,1
CIE 3185,[M],[M],[𐌌],,,,,0.000,clean,62c66a7a5dd7,1
CIE 348,arntu |arntle |vescu |alfnl |cla,arntu |arntle |vescu |alfnl |cla,𐌀𐌓𐌍𐌕𐌖 |𐌀𐌓𐌍𐌕𐌋𐌄 |𐌅𐌄𐌔𐌂𐌖 |𐌀𐌋𐌚𐌍𐌋 |𐌂𐌋𐌀,arntu arntle vescu alfnl cla,,,,1.000,clean,18330f130bcf,1
CIE 360,KENVAJOMA,KENVAJOMA,,,,,,0.000,needs_review,95d49a68250f,1
CIE 361,YRSRDAJ,YRSRDAJ,,,,,,0.000,needs_review,5a85298c6f94,1
CIE 362,ER:YDA YAA:V,ER:YDA YAA:V,,ER YDA YAA V,,,,1.000,clean,43ad92b06841,1
CIE 363,OAJ:VOSR:OAA ARIIAO,OAJ:VOSR:OAA ARIIAO,,,,,,0.000,needs_review,47b61d9553b1,1
CIE 2235,IANA:AHAO,IANA:AHAO,,IANA AHAO,,,,1.000,clean,56ef144bef99,1
CIE 2891,titi:apicnei:remznal,titi:apicnei:remznal,𐌕𐌉𐌕𐌉:𐌀𐌐𐌉𐌂𐌍𐌄𐌉:𐌓𐌄𐌌𐌆𐌍𐌀𐌋,titi apicnei remznal,,,,1.000,clean,692af881b5df,1
CIE 2892,vipi,vipi,𐌅𐌉𐌐𐌉,vipi,,,,1.000,clean,2f7e29fbc47d,4
CIE 2893,ha:apia:vipinal,ha:apia:vipinal,𐌇𐌀:𐌀𐌐𐌉𐌀:𐌅𐌉𐌐𐌉𐌍𐌀𐌋,ha apia vipinal,,,,1.000,clean,fdc8f580965f,1
CIE 2894,lar:api:sceua:matiasa,lar:api:sceua:matiasa,𐌋𐌀𐌓:𐌀𐌐𐌉:𐌔𐌂𐌄𐌖𐌀:𐌌𐌀𐌕𐌉𐌀𐌔𐌀,lar api sceua matiasa,,,,1.000,clean,85686c2a45e2,1
CIE 2941,IEHSEJTNAINAO METVIR,IEHSEJTNAINAO METVIR,,,,,,0.000,needs_review,0b75f5692d00,1
CIE 425,l·aveini·hapre·tlapnal,l·aveini·hapre·tlapnal,𐌋·𐌀𐌅𐌄𐌉𐌍𐌉·𐌇𐌀𐌐𐌓𐌄·𐌕𐌋𐌀𐌐𐌍𐌀𐌋,l aveini hapre tlapnal,,,,1.000,clean,ba74c7a87bc5,1
CIE 427,arniθ·petrni | larθal,arniθ·petrni | larθal,𐌀𐌓𐌍𐌉𐌈·𐌐𐌄𐌕𐌓𐌍𐌉 | 𐌋𐌀𐌓𐌈𐌀𐌋,arniθ petrni larθal,,,,1.000,clean,4e32164e5847,1
CIE 1748,INM9A AAT 2V2I9,INM9A AAT 2V2I9,,,,,,0.000,ocr_failed,94c59678ba6a,1
CIE 1749,2V2I9:2IHM9A:AIAO,2V2I9:2IHM9A:AIAO,,,,,,0.000,ocr_failed,27b948e5370a,1
CIE 1750,IINNAA,IINNAA,,IINNAA,,,,1.000,clean,33adbdf379a2,1
CIE 2895,sei:ra:atice,sei:ra:atice,𐌔𐌄𐌉:𐌓𐌀:𐌀𐌕𐌉𐌂𐌄,sei ra atice,,,,1.000,clean,657b0aaa8128,1
CIE 2896,tite:ataris,tite:ataris,𐌕𐌉𐌕𐌄:𐌀𐌕𐌀𐌓𐌉𐌔,tite ataris,,,,1.000,clean,2635ef87555b,1
CIE 2897,tite:caFa:atrusnal,tite:caFa:atrusnal,𐌕𐌉𐌕𐌄:𐌂𐌀𐌚𐌀:𐌀𐌕𐌓𐌖𐌔𐌍𐌀𐌋,tite caFa atrusnal,,,,1.000,clean,7c25ad783b7d,1
CIE 430,𐌃𐌀𐌕.𐌋𐌀𐌍𐌍𐌉𐌕.𐌀.𐌚.,l.steprni.a.vipinal.talce,𐌋.𐌔𐌕𐌄𐌐𐌓𐌍𐌉.𐌀.𐌅𐌉𐌐𐌉𐌍𐌀𐌋.𐌕𐌀𐌋𐌂𐌄,l.steprni.a.vipinal.talce,,,,1.000,clean,9d2107df1010,1
CIE 432,𐌋𐌀𐌓𐌈𐌉𐌕𐌉𐌋𐌈𐌉𐌍𐌄𐌉𐌀𐌍𐌀𐌉𐌔𐌀,larθi titlnei | ciarθisa,𐌋𐌀𐌓𐌈𐌉 𐌕𐌉𐌕𐌋𐌍𐌄𐌉 | 𐌂𐌉𐌀𐌓𐌈𐌉𐌔𐌀,larθi titlnei ciarθisa,,,,1.000,clean,45318c5ea103,1
CIE 433,𐌋𐌓𐌕.𐌕𐌅𐌋𐌄.𐌒𐌀𐌅𐌉𐌍𐌄𐌉,lrt.tule.cavinei,𐌋𐌓𐌕.𐌕𐌖𐌋𐌄.𐌂𐌀𐌅𐌉𐌍𐌄𐌉,lrt.tule.cavinei,,,,1.000,clean,da5c9d02560f,1
CIE 2898,titi:crespia:senatesa,titi:crespia:senatesa,𐌕𐌉𐌕𐌉:𐌂𐌓𐌄𐌔𐌐𐌉𐌀:𐌔𐌄𐌍𐌀𐌕𐌄𐌔𐌀,titi crespia senatesa,,,,1.000,clean,fdb78ed3b48f,1
CIE 2899,[....]𐌔𐌄𐌖𐌉 𐌕𐌉𐌕𐌉 𐌋𐌀𐌖,laDi titi sc....,𐌋𐌀𐌃𐌉 𐌕𐌉𐌕𐌉 𐌔𐌂....,laDi titi sc....,,,,1.000,clean,e7c28e46e83b,1
CIE 29,XIT·J19·JANDJ21V9·2J·1NMM9A·AJ,XIT·J19·JANDJ21V9·2J·1NMM9A·AJ,,,,,,0.000,ocr_failed,5ad8725be36a,1
CIE 2901,𐌀𐌓𐌍𐌉 : 𐌕𐌉𐌕𐌄 : 𐌅𐌄𐌋𐌔𐌉 : 𐌓𐌄𐌖𐌔𐌕𐌉𐌀𐌋,arni : tite : velsi : reustial,𐌀𐌓𐌍𐌉 : 𐌕𐌉𐌕𐌄 : 𐌅𐌄𐌋𐌔𐌉 : 𐌓𐌄𐌖𐌔𐌕𐌉𐌀𐌋,arni tite velsi reustial,,,,1.000,clean,d79c247e041f,1
CIE 2902,𐌅𐌀𐌍𐌉𐌀 : 𐌕𐌉𐌕𐌉 : 𐌅𐌄𐌔𐌂𐌖𐌍𐌉𐌀 || 𐌕𐌋𐌄𐌔𐌍𐌀𐌋,Fania : titi : vescunia || tlesnal,,Fania titi vescunia tlesnal,,,,1.000,clean,7f07d79ef0e8,1
CIE 2903,𐌅𐌄𐌋 : 𐌕𐌉𐌕𐌄 : 𐌅𐌄𐌕𐌉 : 𐌕𐌉𐌕𐌉𐌀𐌋,vel : tite : veti : titial :,𐌅𐌄𐌋 : 𐌕𐌉𐌕𐌄 : 𐌅𐌄𐌕𐌉 : 𐌕𐌉𐌕𐌉𐌀𐌋 :,vel tite veti titial,,,,1.000,clean,0d4fe25dc8db,1
CIE 2904,𐌀𐌓𐌍𐌉 : 𐌕𐌉𐌕𐌄 : 𐌅𐌄𐌋𐌀𐌆𐌖,a/r/ni : tite : velazu,𐌀/𐌓/𐌍𐌉 : 𐌕𐌉𐌕𐌄 : 𐌅𐌄𐌋𐌀𐌆𐌖,a/r/ni tite velazu,,,,1.000,clean,3cdcdafa96d3,1
CIE 2905,𐌕𐌉𐌕𐌉 : 𐌇𐌄𐌋𐌆𐌖𐌍𐌉𐌀,titi : helzunia,𐌕𐌉𐌕𐌉 : 𐌇𐌄𐌋𐌆𐌖𐌍𐌉𐌀,titi helzunia,,,,1.000,clean,df89e0d0bf3b,1
CIE 2906,𐌅𐌀 : 𐌕𐌉𐌕𐌉 : 𐌋𐌀𐌕𐌖𐌍𐌉 : 𐌖𐌂𐌓𐌉𐌔𐌋𐌀𐌍,Fa : titi : latuni : ucrislan,𐌚𐌀 : 𐌕𐌉𐌕𐌉 : 𐌋𐌀𐌕𐌖𐌍𐌉 : 𐌖𐌂𐌓𐌉𐌔𐌋𐌀𐌍,Fa titi latuni ucrislan,,,,1.000,clean,3db11805ffc5,1
ETP 54,me,me,𐌌𐌄,me,,150.0,150.0,1.000,clean,2744ccd10c75,1
CIE 1767,arntni: sepu: tutnal: clan,arntni: sepu: tutnal: clan,𐌀𐌓𐌍𐌕𐌍𐌉: 𐌔𐌄𐌐𐌖: 𐌕𐌖𐌕𐌍𐌀𐌋: 𐌂𐌋𐌀𐌍,arntni sepu tutnal clan,,,,1.000,clean,8326eee22cb9,1
11999,arz,arz,𐌀𐌓𐌆,arz,,,,1.000,clean,8760d12e7295,1
CIE 2907,𐌋𐌀𐌓𐌕𐌖𐌍𐌉 : 𐌕𐌉𐌕𐌉𐌀𐌋 : 𐌕𐌖𐌍𐌉𐌀𐌋,larD : titial : tunial,𐌋𐌀𐌓𐌃 : 𐌕𐌉𐌕𐌉𐌀𐌋 : 𐌕𐌖𐌍𐌉𐌀𐌋,larD titial tunial,,,,1.000,clean,8429ada721f8,1
CIE 2908,𐌅𐌋 : 𐌖𐌂𐌓𐌉𐌔𐌋𐌀𐌍𐌄 : 𐌕𐌉𐌕𐌉𐌀𐌋,vl : ucrislane : titi[i]al,𐌅𐌋 : 𐌖𐌂𐌓𐌉𐌔𐌋𐌀𐌍𐌄 : 𐌕𐌉𐌕𐌉[𐌉]𐌀𐌋,vl ucrislane,,,,0.667,clean,826f0ac11b6a,1
CIE 2909,ARANΘAΘAS:MIVIPA:SIVII titi leθrunia carnasa,ARANΘAΘAS:MIVIPA:SIVII titi leθrunia carnasa,,ARANΘAΘAS MIVIPA SIVII titi leθrunia carnasa,,,,1.000,clean,bcb6c810383b,1
CIE 291,Θ.LECNEI.Θ.AP,Θ.LECNEI.Θ.AP,,Θ.LECNEI.Θ.AP,,,,1.000,clean,b1eec7a46cf9,1
CIE 2236,ΘIRIV:ΘIΘA,ΘIRIV:ΘIΘA,,ΘIRIV ΘIΘA,,,,1.000,clean,c873991cb983,1
CIE 471,mi:uniol.I curtun,mi:uniol.I curtun,𐌌𐌉:𐌖𐌍𐌉𐌏𐌋.𐌉 𐌂𐌖𐌓𐌕𐌖𐌍,mi uniol.I curtun,,,,1.000,clean,dcf92d92f8dc,1
CIE 2316,MAQVO,MAQVO,,MAQVO,,,,1.000,clean,f5d123b110ee,1
CIE 2910,AΘEΘVΘA:AIVΘAM:I:MIV:IVΘAΘ fasti:titi:macutia:purcesa,AΘEΘVΘA:AIVΘAM:I:MIV:IVΘAΘ fasti:titi:macutia:purcesa,,AΘEΘVΘA AIVΘAM I MIV IVΘAΘ fasti titi macutia purcesa,,,,1.000,clean,78c61d350b7c,1
CIE 2911,VIΘVΘV:ΞIΘI:VA au:tite:nurziu,VIΘVΘV:ΞIΘI:VA au:tite:nurziu,,VIΘVΘV ΞIΘI VA au tite nurziu,,,,1.000,clean,92efbe8403ae,1
CIE 440,tinscvil,tinscvil,𐌕𐌉𐌍𐌔𐌂𐌅𐌉𐌋,tinscvil,,,,1.000,clean,e8dda971dc39,1
10059,aczt,aczt,𐌀𐌂𐌆𐌕,aczt,,,,1.000,clean,50285aef2a5e,1
CIE 2912,AIVIVΘVΘV:MIV:IΞIΘI:AMAO Θana:titi:nurziunia,AIVIVΘVΘV:MIV:IΞIΘI:AMAO Θana:titi:nurziunia,,AIVIVΘVΘV MIV IΞIΘI AMAO Θana titi nurziunia,,,,1.000,clean,7ecc09bedc86,1
CIE 2913,:AΞNAI:ΞIΘI:ONΘA arni:titi:panza,:AΞNAI:ΞIΘI:ONΘA arni:titi:panza,,AΞNAI ΞIΘI ONΘA arni titi panza,,,,1.000,clean,e38fa7b2d5de,1
CIE 2914,ΞA:AΞNAI:ΞLIVΘV larθi: neiθi:panzas,ΞA:AΞNAI:ΞLIVΘV larθi: neiθi:panzas,,ΞA AΞNAI ΞLIVΘV larθi neiθi panzas,,,,1.000,clean,ff2e7538e436,1
CIE 2915,IΘIΘ:IΘIΘAJ IMIΘAΘ larti:titi:sapini,IΘIΘ:IΘIΘAJ IMIΘAΘ larti:titi:sapini,,,,,,0.000,needs_review,b14b0bb8cbe4,1
CIE 2916,....ΞIΘ:AIVΘVΞ HH AMAO Θana titi secunia:ste:.......,....ΞIΘ:AIVΘVΞ HH AMAO Θana titi secunia:ste:.......,,....ΞIΘ AIVΘVΞ HH AMAO Θana titi secunia ste .......,,,,1.000,clean,ba00cea5213f,1
CIE 2917,AƧIJA MƎV ƧƎIT·AINAAƧ·ITIT·ITƧA,AsIJA MeV seIT·AINAAs·ITIT·ITsA,,,,,,0.000,needs_review,9b73d83747e1,1
CIE 2927,:HAƎO·VƎATIT·ƎNAOƎA,:HAeO·VeATIT·eNAOeA,,HAeO VeATIT eNAOeA,,,,1.000,clean,bc3af50d76ee,1
CIE 2928,....ine:melufnal:,....ine:melufnal:,....𐌉𐌍𐌄:𐌌𐌄𐌋𐌖𐌚𐌍𐌀𐌋:,....ine melufnal,,,,1.000,clean,da9b0510fc2d,1
11113,lasna,lasna,𐌋𐌀𐌔𐌍𐌀,lasna,angeloftheafterlife,,,1.000,clean,6c80d2d7e61c,1
CIE 2929,vl:tite:sveq:maricanial:,vl:tite:sveq:maricanial:,𐌅𐌋:𐌕𐌉𐌕𐌄:𐌔𐌅𐌄𐌒:𐌌𐌀𐌓𐌉𐌂𐌀𐌍𐌉𐌀𐌋:,vl tite sveq maricanial,,,,1.000,clean,57be8e3e631c,1
CIE 2939,AMYSEJ:OJ JANHRA:OJ,AMYSEJ:OJ JANHRA:OJ,,,,,,0.000,needs_review,750b0900fdf1,1
CIE 2930,fasti:titlnei:,fasti:titlnei:,𐌚𐌀𐌔𐌕𐌉:𐌕𐌉𐌕𐌋𐌍𐌄𐌉:,fasti titlnei,,,,1.000,clean,44427e9f10df,1
CIE 449,IMV9T:3I:OA:I3HAI9AS,IMV9T:3I:OA:I3HAI9AS,,,,,,0.000,ocr_failed,a1dc4b423529,1
CIE 1782,UMJAIHIATA A2,UMJAIHIATA A2,,,,,,0.000,ocr_failed,7d59169ed82b,1
CIE 1783,ASVMAIHIATA,ASVMAIHIATA,,ASVMAIHIATA,,,,1.000,clean,37e364da91b4,1
CIE 2931,TILTNEI ARISALISA Tilnei | Arisalisa,TILTNEI ARISALISA Tilnei | Arisalisa,,TILTNEI ARISALISA Tilnei Arisalisa,,,,1.000,clean,7fc15196cf18,1
CIE 2932,...q:tiqane,...q:tiqane,...𐌒:𐌕𐌉𐌒𐌀𐌍𐌄,...q tiqane,,,,1.000,clean,468dc94a2083,1
CIE 2933,aθ:tiqile,aθ:tiqile,𐌀𐌈:𐌕𐌉𐌒𐌉𐌋𐌄,aθ tiqile,,,,1.000,clean,6367bdcc371d,1
CIE 2934,aθ:tiqile:palpe:pulias,aθ:tiqile:palpe:pulias,𐌀𐌈:𐌕𐌉𐌒𐌉𐌋𐌄:𐌐𐌀𐌋𐌐𐌄:𐌐𐌖𐌋𐌉𐌀𐌔,aθ tiqile palpe pulias,,,,1.000,clean,e7b26085d925,1
CIE 2935,Ar:Tibile:P:l,Ar:Tibile:P:l,,Ar Tibile P l,,,,1.000,clean,02c86e132fb3,1
CIE 2938,JAIMHREN:AMLENTNA,JAIMHREN:AMLENTNA,,,,,,0.000,needs_review,279d0efcaedd,1
CIE 2942,JAIMITAJ:VPLJ:AMLENTNA,JAIMITAJ:VPLJ:AMLENTNA,,,,,,0.000,needs_review,31e1f4d912a2,1
CIE 2943,AMVLEJJAJNTTO,AMVLEJJAJNTTO,,,,,,0.000,needs_review,6c296bb1055a,1
ETP 55,uniθiu,uniθiu,𐌖𐌍𐌉𐌈𐌉𐌖,uniθiu,,150.0,100.0,1.000,clean,90001cfa6df1,3
CIE 1883,θana : cainei : aul…is,θana : cainei : aul…is,𐌈𐌀𐌍𐌀 : 𐌂𐌀𐌉𐌍𐌄𐌉 : 𐌀𐌖𐌋…𐌉𐌔,θana cainei aul…is,,,,1.000,clean,58db70986174,1
10001,milarthasarsinaia,milarθasarsinaia,𐌌𐌉𐌋𐌀𐌓𐌈𐌀𐌔𐌀𐌓𐌔𐌉𐌍𐌀𐌉𐌀,milarθasarsinaia,,,,1.000,clean,538b8f26cb79,1
CIE 2944,:ALYLEJSIMHTAJ:IEHLEJTNAO,:ALYLEJSIMHTAJ:IEHLEJTNAO,,,,,,0.000,needs_review,8edf2df2780b,1
CIE 2945,ITLAS AITADJ:IEHLEJT ALAMHRMV,ITLAS AITADJ:IEHLEJT ALAMHRMV,,,,,,0.000,needs_review,0f2be1cad277,1
CIE 469,M3JVA :QAS NTAJ,M3JVA :QAS NTAJ,,,,,,0.000,ocr_failed,3c72c9d020cb,1
CIE 1842,larza:cae:aclnial,sAMsA:sAc:sA:IsAs,𐌔𐌀𐌌𐌔𐌀:𐌔𐌀𐌂:𐌔𐌀:𐌉𐌔𐌀𐌔,sAMsA sAc sA IsAs,,,,1.000,clean,0d2729b905ea,1
CIE 470,INVM1MV-1A,INVM1MV-1A,,,,,,0.000,ocr_failed,e144f7f6e393,1
CIE 472,JIDMNIH,JIDMNIH,,,,,,0.000,needs_review,c93335e9fea3,1
CIE 2946,AHARA:IEHLEJT:AHAO,AHARA:IEHLEJT:AHAO,,,,,,0.000,needs_review,48374efe7330,1
CIE 2947,MOJAL:A12AE haspa:lavin | l9:clates,MOJAL:A12AE haspa:lavin | l9:clates,,,,,,0.000,ocr_failed,e16171941d53,1
CIE 2948,ARANIGAMAS:ARNAONGA:ANISALR:ARNA arna:tlesna:arnPalisa:camarinesa,ARANIGAMAS:ARNAONGA:ANISALR:ARNA arna:tlesna:arnPalisa:camarinesa,,ARANIGAMAS ARNAONGA ANISALR ARNA arna tlesna arnPalisa camarinesa,,,,1.000,clean,0dd1abccdde8,1
CIE 2949,A[R]ESVAVS:AH2EAVT:9A ar:tlesna:claucesA,A[R]ESVAVS:AH2EAVT:9A ar:tlesna:claucesA,,,,,,0.000,ocr_failed,abf7a69e80b5,1
CIE 2950,IAJ8V1A2ESVAISANCAJ la:tlesna:claucesa:pulfnal,IAJ8V1A2ESVAISANCAJ la:tlesna:claucesa:pulfnal,,,,,,0.000,ocr_failed,4502635ef4da,1
CIE 2951,b) V:IA:AH2EAVT:OA a) VAITNA:A2:A2A1A7 vl:papasa:seiantial ad:tlesna:vl:papasa:seiantial,b) V:IA:AH2EAVT:OA a) VAITNA:A2:A2A1A7 vl:papasa:seiantial ad:tlesna:vl:papasa:seiantial,,,,,,0.000,ocr_failed,e21d037b6aac,1
CIE 2952,VJALM V2:V1:A2A1A1:V1 vl:papasa:se[ia]ntial,VJALM V2:V1:A2A1A1:V1 vl:papasa:se[ia]ntial,,,,,,0.000,ocr_failed,e0a82bcbabf0,1
ETP 56,tutis,tutis,𐌕𐌖𐌕𐌉𐌔,tutis,,300.0,250.0,1.000,clean,14c8d1f08d67,1
11114,laran,laran,𐌋𐌀𐌓𐌀𐌍,laran,,,,1.000,clean,6f39d5c0dd9c,4
CIE 2953,IAH8V1OJ:A2A1A1:AM2EAVT:OA ad:tlesna:papasa:l9:pulfnal,IAH8V1OJ:A2A1A1:AM2EAVT:OA ad:tlesna:papasa:l9:pulfnal,,,,,,0.000,ocr_failed,4f5b23f1497c,1
CIE 2956,larθi:tetinei:pulfnal:šec:papa tlesnasa sliša,larθi:tetinei:pulfnal:šec:papa tlesnasa sliša,𐌋𐌀𐌓𐌈𐌉:𐌕𐌄𐌕𐌉𐌍𐌄𐌉:𐌐𐌖𐌋𐌚𐌍𐌀𐌋:𐌔𐌄𐌂:𐌐𐌀𐌐𐌀 𐌕𐌋𐌄𐌔𐌍𐌀𐌔𐌀 𐌔𐌋𐌉𐌔𐌀,larθi tetinei pulfnal šec papa tlesnasa sliša,,,,1.000,clean,eac16eb3ba47,1
CIE 2957,aθ:papasa:aθ:marcnal,aθ:papasa:aθ:marcnal,𐌀𐌈:𐌐𐌀𐌐𐌀𐌔𐌀:𐌀𐌈:𐌌𐌀𐌓𐌂𐌍𐌀𐌋,aθ papasa aθ marcnal,,,,1.000,clean,c583220dbdaa,2
15324,mazeche,mazeχe,𐌌𐌀𐌆𐌄𐌙𐌄,mazeχe,mr-ramthacut,,,1.000,clean,edca768e761d,1
CIE 2958,aθ:papasa:aθ:marcnal,aθ:papasa:aθ:marcnal,𐌀𐌈:𐌐𐌀𐌐𐌀𐌔𐌀:𐌀𐌈:𐌌𐌀𐌓𐌂𐌍𐌀𐌋,aθ papasa aθ marcnal,,,,1.000,clean,c583220dbdaa,2
CIE 2959,vel:papasa:aθ:marcnal,vel:papasa:aθ:marcnal,𐌅𐌄𐌋:𐌐𐌀𐌐𐌀𐌔𐌀:𐌀𐌈:𐌌𐌀𐌓𐌂𐌍𐌀𐌋,vel papasa aθ marcnal,,,,1.000,clean,92a1e64bf0b3,1
ETP 62,[---]lus • cles[---],[---]lus • cles[---],[---]𐌋𐌖𐌔 • 𐌂𐌋𐌄𐌔[---],,,500.0,500.0,0.000,clean,e1275e576ccd,1
CIE 1838,cae·sei·...,sI sI,𐌔𐌉 𐌔𐌉,sI sI,,,,1.000,clean,c8101aaccb10,1
