id,raw_text,canonical_transliterated,canonical_italic,canonical_words_only,translation,year_from,year_to,intact_token_ratio,data_quality,dup_group_id,dup_group_size
9528,niki,niki,𐌍𐌉𐌊𐌉,niki,he-livedfor-yearsfor-,,,1.000,clean,97502919b941,1
9532,leciniv,leciniv,𐌋𐌄𐌂𐌉𐌍𐌉𐌅,leciniv,mr-lecinius,,,1.000,clean,6fd6b2ff9867,1
7197,titemefna----------------ul,titemefna----------------ul,𐌕𐌉𐌕𐌄𐌌𐌄𐌚𐌍𐌀----------------𐌖𐌋,,,,,0.000,clean,3aeacfec2cb3,1
7200,euspl,euspl,𐌄𐌖𐌔𐌐𐌋,euspl,ms-theis mr-nilas,,,1.000,clean,1b049f2a11fa,1
7202,sethres,seθres,𐌔𐌄𐌈𐌓𐌄𐌔,seθres,,,,1.000,clean,88e05e7652d0,2
7218,suthina,suθina,𐌔𐌖𐌈𐌉𐌍𐌀,suθina,something-for-the-afterlife,,,1.000,clean,2a656a7a6521,7
7219,--iluscinaies,--iluscinaies,--𐌉𐌋𐌖𐌔𐌂𐌉𐌍𐌀𐌉𐌄𐌔,,imr-luscinaies,,,0.000,clean,8ea04d52d69e,1
7221,--anchiv--------tneal,--anχiv--------tneal,--𐌀𐌍𐌙𐌉𐌅--------𐌕𐌍𐌄𐌀𐌋,,thegodapollo,,,0.000,clean,1fab6be8d801,1
7224,suthin,suθin,𐌔𐌖𐌈𐌉𐌍,suθin,,,,1.000,clean,61de9a4255b8,1
7227,matunas,matunas,𐌌𐌀𐌕𐌖𐌍𐌀𐌔,matunas,,,,1.000,clean,fd465c7827b8,2
7414,--sfar------,--sfar------,--𐌔𐌚𐌀𐌓------,,mr-avelesecond-son,,,0.000,clean,9d77b0fe2b1c,1
7424,larthuslniesl,larθuslniesl,𐌋𐌀𐌓𐌈𐌖𐌔𐌋𐌍𐌉𐌄𐌔𐌋,larθuslniesl,mr-larthuslniemr-seths,,,1.000,clean,439dc060407a,1
7437,------uluv------,------uluv------,------𐌖𐌋𐌖𐌅------,,mr-larthetruscadedicatedmeto-some-god,,,0.000,clean,193694296a53,1
