artifact_id,museum_no,designation,publications_key,publications_type,publications_exact_ref,publications_comment,provenience,period,dates,collections,genres,materials,artifact_type,height,thickness,width,weight,elevation,excavation_no,findspot_square,findspot_comments,stratigraphic_level,surface_preservation,condition_description,artifact_preservation,languages,written_in,archive,composite_no,composites,seal_no,seals,accession_no,cdli_comments,artifact_comments,provenience_comments,is_provenience_uncertain,period_comments,is_period_uncertain,artifact_type_comments,is_artifact_type_uncertain,seal_information,is_school_text,alternative_years,external_resources,external_resources_key,genres_comment,genres_uncertain,languages_uncertain,materials_aspect,materials_color,materials_uncertain,retired,has_fragments,is_artifact_fake,redirect_artifact_id,retired_comments
368583,"Sb —","Sb —",sec97121,history,107,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",,clay,tablet,,,,,,,,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,,,,0,,,0,0,0,0,,
368584,"Sb 24489","TCL 32, 102",Dahl2019TCL32,primary,102,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",,clay,tablet,24.0,12.0,14.0,,,,,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,,,,0,,,0,0,0,0,,
368585,"Sb 24490","TCL 32, 103",Dahl2019TCL32,primary,103,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",,clay,tablet,14.0,14.0,13.0,,,,,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,,,,0,,,0,0,0,0,,
368586,"Sb —","Sb —",,,,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",,clay,tablet,,,,,,,,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,,,,0,,,0,0,0,0,,
368587,"Sb 24491","TCL 32, 104",Dahl2019TCL32,primary,104,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",,clay,tablet,37.0,27.0,35.0,,,,,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,,,,0,,,0,0,0,0,,
368588,"Sb 24492","TCL 32, 105",Dahl2019TCL32,primary,105,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",,clay,tablet,45.0,24.0,37.0,,,,,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,,,,0,,,0,0,0,0,,
368589,"Sb 24493","TCL 32, 106",Dahl2019TCL32,primary,106,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",,clay,tablet,46.0,23.0,36.0,,,,,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,,,,0,,,0,0,0,0,,
368590,"Sb 24494","TCL 32, 107",Dahl2019TCL32,primary,107,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",,clay,tablet,43.0,30.0,39.0,,,,,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,,,,0,,,0,0,0,0,,
368591,"Sb 24495","TCL 32, 108",Dahl2019TCL32,primary,108,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",,clay,tablet,34.0,20.0,24.0,,,,,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,,,,0,,,0,0,0,0,,
368592,"Sb 24496","TCL 32, 109",Dahl2019TCL32,primary,109,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",,clay,tablet,31.0,15.0,41.0,,,,,,,,,,undetermined,,,,,,S999999,,,,,0,,0,,0,,0,,,,,,0,,,0,0,0,0,,
368593,"Sb 24497","TCL 32, 110",Dahl2019TCL32,primary,110,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",,clay,tablet,26.0,14.0,24.0,,,,,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,,,,0,,,0,0,0,0,,
368594,"Sb 24498","TCL 32, 111",Dahl2019TCL32,primary,111,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",,clay,tablet,27.0,16.0,43.0,,,,,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,,,,0,,,0,0,0,0,,
368595,"Sb 24499","TCL 32, 112",Dahl2019TCL32,primary,112,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",,clay,tablet,43.0,16.0,19.0,,,,,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,,,,0,,,0,0,0,0,,
368596,"Sb —","Sb —",sec97121,history,120,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",,clay,tablet,,,,,,,,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,,,,0,,,0,0,0,0,,
368597,"Sb 24500","TCL 32, 113",Dahl2019TCL32,primary,113,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",,clay,tablet,28.0,19.0,24.0,,,,,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,,,,0,,,0,0,0,0,,
368598,"Sb 24501","TCL 32, 114",Dahl2019TCL32,primary,114,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",,clay,tablet,18.0,20.0,19.0,,,,,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,,,,0,,,0,0,0,0,,
368599,"Sb 24502","TCL 32, 115",Dahl2019TCL32,primary,115,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",,clay,tablet,32.0,27.0,67.0,,,,,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,,,,0,,,0,0,0,0,,
368601,"Sb 24504","TCL 32, 117",Dahl2019TCL32,primary,117,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",,clay,tablet,43.0,19.0,44.0,,,,,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,,,,0,,,0,0,0,0,,
368602,"Sb 24503","TCL 32, 116",Dahl2019TCL32,primary,116,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",,clay,tablet,43.0,21.0,38.0,,,,,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,,,,0,,,0,0,0,0,,
368603,"Sb —","Sb —",sec97121,history,126,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",,clay,tablet,,,,,,,,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,,,,0,,,0,0,0,0,,
368604,"Sb 24505","TCL 32, 119",Dahl2019TCL32,primary,119,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",,clay,tablet,55.0,18.0,27.0,,,,,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,,,,0,,,0,0,0,0,,
368605,"Sb 24506","TCL 32, 120",Dahl2019TCL32,primary,120,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",,clay,tablet,42.0,18.0,37.0,,,,,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,,,,0,,,0,0,0,0,,
368606,"Sb 24507","TCL 32, 121",Dahl2019TCL32,primary,121,,"Susa (mod. Shush)","Proto-Elamite (ca. 3100-2900 BC)",,"Louvre Museum, Paris, France",,clay,tablet,43.0,16.0,40.0,,,,,,,,,,undetermined,,,,,,,,,,,0,,0,,0,,0,,,,,,0,,,0,0,0,0,,
387458,"NMI BK — ?","NMI BK — ?",,,,,"Anšan (mod. Tell Malyan)","Proto-Elamite (ca. 3100-2900 BC)",,"National Museum, Tehran, Iran",Administrative,clay,tablet,44.0,18.0,27.0,,,M-0625,"ABC C66",,2,,,,undetermined,,,,,,,,,,ABC,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
387459,"NMI BK — ?","NMI BK — ?",,,,,"Anšan (mod. Tell Malyan)","Proto-Elamite (ca. 3100-2900 BC)",,"National Museum, Tehran, Iran",Administrative,clay,tablet,33.0,12.0,21.0,,,M-0627,"ABC C66",,2,,,,undetermined,,,,,,,,,,ABC,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
387460,"NMI BK — ?","NMI BK — ?",,,,,"Anšan (mod. Tell Malyan)","Proto-Elamite (ca. 3100-2900 BC)",,"National Museum, Tehran, Iran",Administrative,clay,tablet,28.0,13.0,21.0,,,M-0634,"ABC C66",,2,,,,undetermined,,,,,,,,,,ABC,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
387461,"NMI BK — ?","Fourth Symposium 89ff. photo 1",Stolper1976-5855,primary,,,"Anšan (mod. Tell Malyan)","Proto-Elamite (ca. 3100-2900 BC)",,"National Museum, Tehran, Iran",Administrative,clay,tablet,45.0,12.0,31.0,,,M-1002,"ABC S46",,3,,,,undetermined,,,,,,,,,,ABC,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
387462,"NMI BK — ?","Fourth Symposium 89ff. photo 1",Stolper1976-5855,primary,,,"Anšan (mod. Tell Malyan)","Proto-Elamite (ca. 3100-2900 BC)",,"National Museum, Tehran, Iran",Administrative,clay,tablet,42.0,12.0,30.0,,,M-1003,"ABC S46",,3,,,,undetermined,,,,,,,,,,ABC,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
387463,"NMI BK — ?","Fourth Symposium 89ff. photo 1",Stolper1976-5855,primary,,,"Anšan (mod. Tell Malyan)","Proto-Elamite (ca. 3100-2900 BC)",,"National Museum, Tehran, Iran",Administrative,clay,tablet,46.0,15.0,28.0,,,M-1004,"ABC S36",,3,,,,undetermined,,,,,,,,,,ABC,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
387464,"NMI BK — ?","Fourth Symposium 89ff. photo 1",Stolper1976-5855,primary,,,"Anšan (mod. Tell Malyan)","Proto-Elamite (ca. 3100-2900 BC)",,"National Museum, Tehran, Iran",Administrative,clay,tablet,52.0,19.0,34.0,,,M-1005,"ABC S82",,3,,,,undetermined,,,,,,,,,,ABC,0,,0,,0,,0,,,," ",0,0,,,0,0,0,0,,
